Service,S3,EC2-Other,EC2_Instances,Tax($),EC2_ELB,VPC,CloudWatch,QuickSight($),SQS,CloudFront($),Route_53,Elastic Transcoder($),SNS,Lambda($),SimpleDB($),DynamoDB($),SWF($),Glacier($),Key Management Service($),IoT($),X-Ray($),CloudTrail($),Total cost ($)
2018-02-01,169.1364082497,95.9869509886,164.4757062524,1392.5,22.6116642104,1.2000004657,0.0900857144,0.3928571328,0.3962408724,0.0267378404,0.5473972,0,0.0120965368,3.2436E-06,,0,,,0,,,0,1847.3761487072
2018-02-02,196.9689185128,95.2744281258,158.9429384503,,20.477748547,1.2000004617,0.0904457144,0.4285714176,0.3974878101,0.0229240215,0.0462644,1.08,0.011386378,8.4495E-06,,0,,,0,,,0,474.9411222887
2018-02-03,116.6361714106,98.1220456222,126.9335948309,,19.8349343422,1.200000458,0.0894857144,0.4285714176,0.3148339428,0.0502714197,0.0370764,,0.0029007093,,,0,,,,,,0,363.6498862677
2018-02-04,13.0904397692,97.9886448358,126.8017504716,,19.7491038413,1.2000004563,0.0894857144,0.4285714176,0.2749524241,0.0608387392,0.0306028,,0.0007986629,,,0,,,,,,0,259.7151891324
2018-02-05,183.035594584,94.9094249249,142.5625407481,,19.7642507054,1.2000004645,0.0891756946,0.4285714176,0.3320950682,0.0910052345,0.0412492,,0.0064448279,,,0,,,0,,0,0,442.4603528697
2018-02-06,162.6682472735,94.2085750538,149.8302473073,,20.0667001323,1.2000004833,0.0894857144,0.4285714176,0.3767335674,0.1214545605,0.04415,,0.0112291506,,,0,,,0,,,0,429.0453946607
2018-02-07,143.1428332462,93.8689397998,156.268883776,,19.9224077929,1.2000003854,0.3573426104,0.4285714176,0.3812355182,0.1096316019,0.0484528,,0.0121795265,,,0,,,,,,0,415.7404784749
2018-02-08,138.8224984074,94.8228140127,147.1870095436,,19.9681166942,1.2000003463,0.4644857144,0.4285714176,0.3880298169,0.0936742642,0.0463668,,0.0047128789,,,0,,,0,,,0,403.4262798962
2018-02-09,143.018622781,90.4055867442,122.0234530704,,19.9760974042,1.2000003494,0.4644857144,0.4285714176,0.4106424755,0.0475678378,0.0455884,,0.0065461219,,,0,,,0,,,0,378.0271623164
2018-02-10,60.1633803622,87.9439170725,78.9751234306,,19.8940155253,1.2000003477,0.4644857144,0.4285714176,0.3752714331,0.0511695267,0.0380192,,0.0090505267,,,0,,,,,,0,249.5430045568
2018-02-11,12.6450680973,87.8890696674,85.94174311,,19.8148779679,1.2000003339,0.4644857145,0.4285714176,0.3445781045,0.0615918427,0.033496,,0.0073361987,,,0,,,,,,0,208.8308184545
2018-02-12,122.2093247028,86.0880918569,110.9385556109,,19.9316708868,1.2000003161,0.4645057144,0.4285714176,0.5112175858,0.0706831528,0.04961,,0.0091794707,,,0,,,0,,,0,341.9014107148
2018-02-13,69.9451220022,85.7914063789,72.1341293164,,19.95511736,1.2000003048,0.4645057144,0.4285714176,0.4550752743,0.1077760723,0.0459544,,0.0111313078,,,0,,,0,,,0,250.5387895487
2018-02-14,93.3386895667,81.9852448098,10.9719637205,,20.0003097492,1.2000003511,0.4645057144,0.4285714176,0.4124576575,0.0576867199,0.041654,,0.0021234097,,,0,,,,,,0,208.9032071164
2018-02-15,149.5033403255,79.1544177567,10.6480398082,,19.9649934448,1.2000003043,0.6787914304,0.4285714176,0.4805560495,0.0349977606,0.0465828,,0.0069440176,,1.373E-07,6.74E-08,1.52E-08,1.16E-08,0,0,,0,262.1472353467
2018-02-16,111.7943827415,78.3447266119,8.5370261153,,19.7277962059,1.2000003599,0.6787914304,0.4285714176,0.4583675627,0.047002721,0.0445616,,0.0069661296,,,0,,,0,,,0,221.2681928958
2018-02-17,81.0563578703,80.1927508792,2.6218855252,,19.5571835009,1.2000003614,0.6787914304,0.4285714176,0.3472016654,0.0606573832,0.0358568,,0.0037935503,,,0,,,,,,0,186.1830503839
2018-02-18,14.1710671595,80.1892673786,3.4433250592,,19.4909679428,1.2000002845,0.6787914304,0.4285714176,0.3018439332,0.0489278854,0.031712,,0.0008439779,,,0,,,,,,0,119.9853184691
2018-02-19,120.8805104558,77.9851303918,5.5486956912,,20.1825849921,1.2000003003,0.6698628589,0.4285714176,0.4210255024,0.0229595316,0.043836,,0.0068026135,,,0,,,,,,0,227.3899797552
2018-02-20,126.3524605377,72.156983689,10.4198792361,,20.5941822223,1.2000003285,0.6698628586,0.4285714176,0.4524604166,0.0689352294,0.0458124,,0.0053452837,,,0,,,,,,0,232.3944936195
2018-02-21,118.6307725055,65.6921996297,10.890396974,,20.4966310668,1.2000003389,0.6799014304,0.4285714176,0.4380741153,0.0314442936,0.0434812,,0.0040087476,,,0,,,0,,,0,218.5354817194
2018-02-22,128.455832536,63.8917220372,9.4276635318,,20.5717255119,1.2000003414,0.6787914304,0.4285714176,0.499350205,0.0796379297,0.0447196,,0.005590895,,1.361E-07,6.74E-08,1.52E-08,1.16E-08,0,0,,0,225.2836056663
2018-02-23,111.1834403924,63.7379619376,7.3139972118,,20.5675309279,1.2000003179,0.6786814304,0.4285714176,0.4437689668,0.0694012446,0.042418,,0.0047352791,,,0,,,,,,0,205.6705071261
2018-02-24,60.693869474,65.6257302795,27.5225548255,,20.5190120614,1.2000006443,0.6785714304,0.4285714176,0.3508774881,0.0509555002,0.0345804,,0.0040684181,,,0,,,,,,0,177.1087919391
2018-02-25,12.3398167368,64.6661524935,22.1297215728,,20.3706070884,1.200000391,0.6785714304,0.4285714176,0.3630498464,0.0371649461,0.0341596,,0.0090930222,,,0,,,,,,0,122.2569085452
2018-02-26,110.0557876268,62.9718516603,12.6431136151,,20.5292814903,0.3000000863,0.6866914304,0.4285714176,0.4580062967,0.0818909784,0.0453864,,0.0101099368,,,0,,,0,,,0,208.2106909387
2018-02-27,137.1858283976,62.8232942897,9.8009117433,,20.4780046558,,0.6804514304,0.4285714176,0.4815384456,0.0641203116,0.0463008,,0.0124504597,,,0,,,,,,0,232.0014719513
2018-02-28,118.6595792542,63.2272921725,16.5244191838,,20.4664002092,,0.6785714304,0.4285714176,0.4762815994,0.0550826693,0.0440708,,0.0132380265,,,0,,,0,,,0,220.5735067629
