Service,S3,EC2-Other,Tax($),EC2_ELB,EC2_Instances,CloudWatch($),SQS,QuickSight($),CloudFront($),Route_53,SNS,DynamoDB($),CloudTrail($),Key Management Service($),Total cost ($)
2018-03-01,136.986785374,56.3077672264,1180.28,19.0265932937,13.234096774,0.0806451623,0.509118008,0.354838704,0.0607332939,0.5432396,0.0175284217,0,0,,1407.401345858
2018-03-02,77.4231382203,56.930078752,,19.0270304617,0.1728150525,0.0806451623,0.4292249322,0.387096768,0.0310776955,0.037288,0.0206265864,0,0,,154.5390216309
2018-03-03,88.8612218232,56.7681008918,,20.325832854,0.1435235143,0.3322575487,0.3510693758,0.387096768,0.0307584611,0.0354644,0.0053629505,0,0,,167.2406885874
2018-03-04,12.114658195,56.6852003521,,20.3524778553,0.1370483431,0.4193548463,0.3418080479,0.387096768,0.0706620609,0.0335188,0.0048117787,0,0,,90.5466370473
2018-03-05,228.2588795364,55.6299246456,,20.3867881469,8.7702478466,0.4193548463,0.4262706722,0.387096768,0.0274946682,0.0419808,0.0044575083,0,0,,314.3524954385
2018-03-06,205.636573001,55.7711896711,,20.5056011869,9.1720642949,0.4193548463,0.3984946426,0.387096768,0.024672101,0.0390248,0.0034683621,0,0,0,292.3575396739
2018-03-07,193.0457048372,55.9324640005,,20.9408616196,14.7653954894,0.4193548464,0.4376099223,0.387096768,0.0308693949,0.0391672,0.0107465486,0,0,,286.0092706269
2018-03-08,183.6743150309,55.8607034648,,21.6230608141,16.0822591979,0.4193548464,0.4399795342,0.387096768,0.0282966699,0.0403964,0.0110586217,0,0,0,278.5665213479
2018-03-09,148.6952772583,56.1277067938,,21.6126342803,16.2871074081,0.4193848464,0.3893661708,0.387096768,0.0427803483,0.039562,0.0037419757,0,0,0,244.0046578497
2018-03-10,76.6021198074,57.6625382884,,21.5981134791,1.4628578758,0.4193548464,0.299546675,0.387096768,0.0294300692,0.031084,0.0013841169,0,0,,158.4935259262
2018-03-11,69.1572530797,57.6768288948,,21.5952684181,1.5355100935,0.4193548462,0.2935428394,0.387096768,0.0259601847,0.0290252,0.0030443442,0,0,,151.1228846686
2018-03-12,34.0095656572,57.5484940374,,21.7547506525,9.0573716959,0.4984171054,0.3873103371,0.387096768,0.0274449559,0.039202,0.0052807108,0,0,0,123.7149339202
2018-03-13,173.20173053,58.7991989905,,21.7371412171,12.7669228652,0.5899187196,0.3900286517,0.387096768,0.0313054084,0.0391784,0.0026407519,0,0,0,267.9451623024
2018-03-14,157.5419754025,59.7459349611,0.02,21.7271488999,15.5908886788,0.6219687199,0.5174458191,0.387096768,0.0533553887,0.0475392,0.0249803,0,0,0,256.278334138
2018-03-15,157.3090817903,59.8370638686,0.44,21.7639407898,17.844170294,0.6224787199,0.4365371487,0.387096768,0.161929622,0.0450568,0.0118710354,0,0,,258.8592268367
2018-03-16,140.1338387649,59.7908513277,,21.8892296736,17.8265994732,0.6252787199,0.4003803796,0.387096768,0.169214913,0.0416724,0.0058978899,0,0,0,241.2700603098
2018-03-17,109.4520810241,61.2307052306,,22.1548098527,4.2470017234,0.808847104,0.3266067042,0.387096768,0.2060807955,0.03679,0.0030137129,0,0,,198.8530329154
2018-03-18,23.4787044701,61.2285403979,,22.1417403183,8.7432295682,0.8073071039,0.3349889098,0.387096768,0.2310385215,0.0355952,0.009046772,0,0,,117.3972880297
